epoch,total_loss,membership_loss,count_loss,count_accuracy
1,1.7260174769507717,0.5800090998169115,1.1460083654720818,0.5762064022933588
2,1.4232587844517832,0.46558291652643446,0.9576758706165283,0.5762064022933588
3,1.3530283644047867,0.41803298118122445,0.9349953838643194,0.5766841853798376
4,1.186668582299766,0.39173521542173223,0.7949333643719618,0.6937410415671286
5,1.000188445224753,0.3841999636787692,0.6159884856468288,0.7935977066411849
6,0.9317856649434344,0.37836563611395096,0.5534200255260249,0.807931199235547
7,0.8883611226816583,0.3723026925988933,0.5160584301397212,0.8289536550406116
8,0.8542128413474224,0.3682744327026637,0.4859384110796355,0.8394648829431438
9,0.8343418693633611,0.3656568619775476,0.4686850073430963,0.8437649307214524
10,0.8169074330498486,0.36463971698734104,0.4522677173155435,0.8494983277591973
11,0.801375849931592,0.36055677637949096,0.4408190721424356,0.849976110845676
12,0.7873286723634927,0.35998903612912814,0.4273396400931459,0.8604873387482083
13,0.7693599870315421,0.35716255871348557,0.4121974316784712,0.8600095556617295
14,0.7570044844274708,0.3543207976901241,0.40268368873081306,0.8623984710941233
15,0.746653139904476,0.35290040862486227,0.3937527308809205,0.8614429049211658
16,0.7297964067021683,0.3509275572640555,0.3788688496659375,0.8695652173913043
17,0.7181548956359795,0.3497388412080424,0.3684160553605945,0.8695652173913043
18,0.6981407700687633,0.3474397888692782,0.3507009815269831,0.8714763497372193
19,0.6842232945713767,0.3448628705053653,0.33936042611643397,0.8772097467749642
20,0.6742136104221954,0.3437699321434934,0.3304436808559693,0.8791208791208791
