diagnostic,value
Feature-union unique target recall,0.9951379763469119
Feature-union expression-weighted target recall,0.996009595423721
Feature-union full-target coverage,0.9948081264108353
Stage 3 oracle official F1,0.70307119263476
Stage 3 detector official F1,0.6408039918476351
Stage 3 detector minus oracle F1,-0.06226720078712489
"Exact 3 success, original",0.21100917431192662
"Exact 3 success, repaired",0.38073394495412843
"Exact 4 success, original",0.0
"Exact 4 success, repaired",0.10810810810810811
"Exact 5 success, original",0.0
"Exact 5 success, repaired",0.025
"Exact 6+ success, original",0.0
"Exact 6+ success, repaired",0.017857142857142856
